id;name_cz;name_lat;topo1;topo2;detail;pics
ethmoidale;kost čichová;os ethmoidale;lebka;neurocranium;;
parietale;kost temenní;os parietale;lebka;neurocranium;;
occipitale;kost týlní;os occipitale;lebka;neurocranium;;
temporale;kost spánková;os temporale;lebka;neurocranium;;
sphenoidale;kost klínová;os sphenoidale;lebka;neurocranium;;
lacrimale;kost slzná;os lacrimale;lebka;neurocranium;;
vomer;kost radličná;vomer;lebka;neurocranium;;
frontale;kost čelní;os frontale;lebka;neurocranium;;
auditus;sluchové kůstky;ossicula auditus;lebka;viscerocranium;;
malleus;kladívko;malleus;lebka;viscerocranium;;
incus;kovadlinka;incus;lebka;viscerocranium;;
stapes;třmínek;stapes;lebka;viscerocranium;;
palatinum;kost patrová;os palatinum;lebka;viscerocranium;;
concha;dolní nosní skořepa;concha nasalis inferior;lebka;viscerocranium;;
nasale;kost nosní;os nasale;lebka;viscerocranium;;
maxilla;horní čelist;maxilla;lebka;viscerocranium;;
praemaxillare;mezičelist;os incisivum, os praemaxillare;lebka;viscerocranium;;
mandibula;dolní čelist;mandibula;lebka;viscerocranium;;
hyoideum;jazylka;os hyoideum;lebka;viscerocranium;;
zygomaticum;kost lícní;os zygomaticum;lebka;viscerocranium;;
cervicales;krční obratle;vertebrae cervicales;osový skelet;columna vertebralis;;
thoracicae;hrudní obratle;vertebrae thoracicae;osový skelet;columna vertebralis;;
lumbales;bederní obratle;vertebrae lumbales;osový skelet;columna vertebralis;;
sacrum;kost křížová;os sacrum;osový skelet;columna vertebralis;;
coccygis;kost kostrční;os coccygis;osový skelet;columna vertebralis;;
sternum;kost hrudní;sternum;osový skelet;thorax;;
costae;žebra;costae;osový skelet;thorax;;
clavicula;kost klíční;clavicula;kostra horní končetiny;pletenec;;
scapula;lopatka;scapula;kostra horní končetiny;pletenec;;
humerus;kost pažní;humerus;kostra horní končetiny;volná končetina;;
radius;kost vřetenní;radius;kostra horní končetiny;volná končetina;;
ulna;kost loketní;ulna;kostra horní končetiny;volná končetina;;
carpus;kosti zápěstní;ossa carpi;kostra horní končetiny;volná končetina;;
triquetrum;kost trojhranná;os triquetrum;kostra horní končetiny;volná končetina;;
pisiforme;kost hrášková;os pisiforme;kostra horní končetiny;volná končetina;;
hamatum;kost háková;os hamatum;kostra horní končetiny;volná končetina;;
capitatum;kost hlavatá;os capitatum;kostra horní končetiny;volná končetina;;
trapezoideum;kost botičková;os trapezoideum;kostra horní končetiny;volná končetina;;
scaphoideum;kost člunková;os scaphoideum;kostra horní končetiny;volná končetina;;
lunatum;kost poloměsíčitá;os lunatum;kostra horní končetiny;volná končetina;;
trapezium;kost sedlová;os trapezium;kostra horní končetiny;volná končetina;;
metacarpus;kosti záprstní;ossa metacarpi;kostra horní končetiny;volná končetina;;
phalanges_manus;články prstů;ossa digitorum manus, phalanges;kostra horní končetiny;volná končetina;;
pelvis;pánev;pelvis;kostra dolní končetiny;pletenec;;
coxae;kost pánevní;os coxae;kostra dolní končetiny;pletenec;;
ilium;kost kyčelní;os ilium;kostra dolní končetiny;pletenec;;
ischii;kost sedací;os ischii;kostra dolní končetiny;pletenec;;
pubis;kost stydká;os pubis;kostra dolní končetiny;pletenec;;
femur;kost stehenní;femur;kostra dolní končetiny;volná končetina;;
patella;čéška;patella;kostra dolní končetiny;volná končetina;;
fibula;kost lýtková;fibula;kostra dolní končetiny;volná končetina;;
tibia;kost holenní;tibia;kostra dolní končetiny;volná končetina;;
tarsus;kosti zánártní;ossa tarsi;kostra dolní končetiny;volná končetina;;
talus;kost hlezenní;talus;kostra dolní končetiny;volná končetina;;
calcaneus;kost patní;calcaneus;kostra dolní končetiny;volná končetina;;
naviculare;kost loďkovitá;os naviculare;kostra dolní končetiny;volná končetina;;
cuneiforme_intermedium;kost klínová prostřední;os cuneiforme intermedium;kostra dolní končetiny;volná končetina;;
cuneiforme_mediale;kost klínová přístřední;os cuneiforme mediale;kostra dolní končetiny;volná končetina;;
cuneiforme_laterale;kost klínová boční;os cuneiforme laterale;kostra dolní končetiny;volná končetina;;
cuboideum;kost krychlová;os cuboideum;kostra dolní končetiny;volná končetina;;
metatarsus;kosti nártní;ossa metatarsi;kostra dolní končetiny;volná končetina;;
phalanges_pedis;články prstů nohy;ossa digitorum pedis, phalanges;kostra dolní končetiny;volná končetina;;
